,alpha,beta,m_connections,index_cases,graph,rmse
98,0.56,0.004,,3,complete_graph,64.08041822585118
45,0.48,0.00265,,3,complete_graph,65.0703761027539
55,0.5,0.0025,,3,complete_graph,65.21508791919008
77,0.54,0.0025,,3,complete_graph,65.89753117822106
56,0.5,0.00265,,3,complete_graph,65.90167501081265
89,0.56,0.00265,,3,complete_graph,66.0253447840006
78,0.54,0.00265,,3,complete_graph,66.39138034877257
111,0.6,0.00265,,3,complete_graph,67.15183713621863
112,0.6,0.0028,,3,complete_graph,67.74102268084056
88,0.56,0.0025,,3,complete_graph,68.69788934166755
100,0.58,0.00265,,3,complete_graph,72.58109522882239
44,0.48,0.0025,,3,complete_graph,73.15315861522737
11,0.42000000000000004,0.0025,,3,complete_graph,74.02987962250835
22,0.44,0.0025,,3,complete_graph,74.36521105587353
1,0.4,0.00265,,3,complete_graph,75.81581933566676
99,0.58,0.0025,,3,complete_graph,76.51540820192814
0,0.4,0.0025,,3,complete_graph,79.49581508095011
67,0.52,0.00265,,3,complete_graph,80.59728951350087
66,0.52,0.0025,,3,complete_graph,82.7820586284808
12,0.42000000000000004,0.00265,,3,complete_graph,85.31060895340039
110,0.6,0.0025,,3,complete_graph,91.05268973343021
